訂單編號,產品料號,目標數量,最早開始時間,交期,優先度,orderBomKey,已逾期天數
000001710699-6_0_0,ZUE1141123M,6,2022/3/9 10:36,2022/4/8 00:00,3,FTD0031012CF01FORSA_20220507_2_MTD0030201,29.55833333
000001665427-2_0_1,ZGS1175122M,9,2022/1/21 10:41,2022/2/20 00:00,4,FFR0064011FR01EDISA_20220305_2_MFR0064101,29.55486111
000001694335-2_0_1,ZQI1149124M,7,2022/2/14 10:51,2022/3/16 00:00,4,FPH0038013PO01ATFAQ_20220702_2_MPH0038301,29.54791667
000001709507-3_0_0,ZCN1230122M,10,2022/1/28 11:11,2022/2/27 00:00,4,FBM0129011BW01EDIAB_20220618_2_MBM0129101,29.53402778
000001707565-1_0_1,ZCM1123127M,7,2022/1/27 11:42,2022/2/26 00:00,3,FBL0020013BL01EDIAM_20220611_2_MBL0012601,29.5125
000001707565-4_0_0,ZCM1123127M,7,2022/2/2 11:42,2022/3/4 00:00,3,FBL0020013BL01EDIAM_20220618_2_MBL0012601,29.5125
000001711599-2_0_1,ZCN1180124M,6,2022/2/13 11:49,2022/3/15 00:00,3,FBM0079013BW01EDIAQ_20220326_2_MBM0079301,29.50763889
000001691418-2_0_0,ZGS1179122M,8,2022/2/11 12:23,2022/3/13 00:00,4,FFR0072011FR01EDISA_20220326_2_MFR0068101,29.48402778
000001700579-2_0_2,ZGS1179122M,8,2022/3/10 12:23,2022/4/9 00:00,4,FFR0068011FR01EDISA_20220423_2_MFR0068101,29.48402778
000001700581-3_0_1,ZGS1179122M,8,2022/3/24 12:23,2022/4/23 00:00,4,FFR0068011FR01EDISA_20220507_2_MFR0068101,29.48402778
000001709475-3_0_1,ZGS1179122M,8,2022/3/31 12:23,2022/4/30 00:00,3,FFR0068011FR01EDISA_20220514_2_MFR0068101,29.48402778
000001711632-4_0_0,ZGS1179122M,8,2022/4/27 12:23,2022/5/27 00:00,3,FFR0072011FR01EDISA_20220611_2_MFR0068101,29.48402778
000001678088-6_0_0,ZCN1152124M,7,2022/3/13 12:52,2022/4/12 00:00,3,FBM0041013BW01EDIAQ_20220730_2_MBM0041301,29.46388889
000001710909-1_0_0,ZGS1162123M,7,2022/1/28 13:31,2022/2/27 00:00,3,FFR0059012FR01EDISA_20220312_2_MFR0051201,29.43680556
000001695557-1_0_1,ZGS1140123M,7,2022/2/11 13:40,2022/3/13 00:00,3,FFR0039012FR01EDISA_20220326_2_MFR0039201,29.43055556
000001708291-4_0_0,ZUE1148122M,6,2022/4/29 13:42,2022/5/29 00:00,3,FTD0037011CF01FORSA_20220611_2_MTD0037101,29.42916667
000001707408-9_0_0,ZCM1138122M,5,2022/1/20 14:12,2022/2/19 00:00,3,FBL0028011BL01EDIAM_20220604_2_MBL0027101,29.40833333
000001710353-4_0_0,ZCM1138122M,5,2022/1/27 14:12,2022/2/26 00:00,3,FBL0028011BL01EDIAM_20220611_2_MBL0027101,29.40833333
000001710353-6_0_0,ZCM1138122M,5,2022/1/27 14:12,2022/2/26 00:00,3,FBL0029011BL01EDIAM_20220611_2_MBL0027101,29.40833333
000001704992-3_0_0,ZGS1148123M,5,2022/2/25 14:22,2022/3/27 00:00,3,FFR0037012FR01EDISA_20220409_2_MFR0037201,29.40138889
000001709440-2_0_0,ZCM1142122M,6,2022/2/4 14:47,2022/3/6 00:00,3,FBL0031011BL01EDIAM_20220618_2_MBL0031101,29.38402778
000001709441-3_0_0,ZCM1142122M,6,2022/2/4 14:47,2022/3/6 00:00,3,FBL0033011BL01EDIAM_20220618_2_MBL0031101,29.38402778
000001706422-2_0_4,ZHN1106122M,9,2022/1/18 14:50,2022/2/17 00:00,4,FGM0097011HJ04EDIA6_20220528_2_MGM0095101,29.38194444
000001706438-3_0_4,ZHN1109122M,7,2022/2/23 15:09,2022/3/25 00:00,4,FGM0100011HJ04EDIA6_20220702_2_MGM0098101,29.36875
000001707605-1_0_0,ZGS1163123M,7,2022/2/4 15:28,2022/3/6 00:00,3,FFR0052012FR01EDISA_20220319_2_MFR0052201,29.35555556
000001708497-1_0_1,ZGS1163123M,7,2022/2/11 15:28,2022/3/13 00:00,3,FFR0052012FR01EDISA_20220326_2_MFR0052201,29.35555556
000001708498-2_0_0,ZGS1163123M,7,2022/2/17 15:28,2022/3/19 00:00,3,FFR0052012FR01EDISA_20220402_2_MFR0052201,29.35555556
000001709800-2_0_0,ZQI1120127M,9,2022/1/17 16:20,2022/2/16 00:00,3,FPH0139012PO01ATFAQ_20220604_2_MPH0019601,29.31944444
000001687506-4_0_0,ZSS1144122M,9,2022/2/24 17:17,2022/3/26 00:00,4,FRR0033011RR01EDIAB_20220709_2_MRR0033101,29.27986111
000001687507-2_0_1,ZSS1144122M,9,2022/3/15 17:17,2022/4/14 00:00,4,FRR0033011RR01EDIAB_20220730_2_MRR0033101,29.27986111
000001706305-6_0_0,ZUE1153123M,6,2022/2/14 17:36,2022/3/16 00:00,3,FTD0042012CF01SAISA_20220402_1_MTD0042201,29.26666667
000001706306-1_0_0,ZUE1153123M,6,2022/2/14 17:36,2022/3/16 00:00,3,FTD0042012CF01SAISA_20220402_1_MTD0042201,29.26666667
000001704564-1_0_0,ZSS1134123M,12,2022/1/19 17:37,2022/2/18 00:00,3,FRR0023012RR01EDIAB_20220604_2_MRR0023201,29.26597222
000001704566-1_0_0,ZSS1134123M,12,2022/1/19 17:37,2022/2/18 00:00,3,FRR0023012RR01EDIAB_20220604_2_MRR0023201,29.26597222
000001707391-1_0_0,ZSS1134123M,12,2022/2/1 17:37,2022/3/3 00:00,3,FRR0023012RR01EDIAB_20220618_2_MRR0023201,29.26597222
000001707391-1_0_1,ZSS1134123M,12,2022/2/1 17:37,2022/3/3 00:00,3,FRR0023012RR01EDIAB_20220618_2_MRR0023201,29.26597222
000001707391-2_0_0,ZSS1134123M,12,2022/2/1 17:37,2022/3/3 00:00,3,FRR0023012RR01EDIAB_20220618_2_MRR0023201,29.26597222
000001707391-2_0_1,ZSS1134123M,12,2022/2/1 17:37,2022/3/3 00:00,3,FRR0023012RR01EDIAB_20220618_2_MRR0023201,29.26597222
000001707391-3_0_0,ZSS1134123M,12,2022/2/9 17:37,2022/3/11 00:00,3,FRR0023012RR01EDIAB_20220625_2_MRR0023201,29.26597222
000001706642-2_0_1,ZCM1138122M,7,2022/3/18 18:06,2022/4/17 00:00,3,FBL0028011BL01EDIAM_20220604_2_MBL0027101,29.24583333
000001709484-1_0_0,ZCM1141123M,7,2022/4/1 18:06,2022/5/1 00:00,3,FBL0032012BL01EDIAM_20220716_2_MBL0030201,29.24583333
000001709485-1_0_0,ZCM1125126M,7,2022/4/15 18:06,2022/5/15 00:00,3,FBL0014015BL01EDIAM_20220625_2_MBL0014501,29.24583333
000001709486-1_0_0,ZQI1223124M,7,2022/4/29 18:06,2022/5/29 00:00,3,FPH0112013PO01ATFAQ_20220507_2_MPH0112301,29.24583333
000001704859-1_0_0,ZGS1173122M,8,2022/2/11 18:33,2022/3/13 00:00,4,FFR0062011FR01EDISA_20220326_2_MFR0062101,29.22708333
000001704859-3_0_1,ZGS1173122M,8,2022/2/18 18:33,2022/3/20 00:00,4,FFR0062011FR01EDISA_20220402_2_MFR0062101,29.22708333
000001709466-1_0_3,ZGS1173122M,8,2022/2/25 18:33,2022/3/27 00:00,3,FFR0062011FR01EDISA_20220409_2_MFR0062101,29.22708333
000001709467-1_0_3,ZGS1173122M,8,2022/4/15 18:33,2022/5/15 00:00,3,FFR0062011FR01EDISA_20220528_2_MFR0062101,29.22708333
000001705571-2_0_0,ZSS1135123M,12,2022/2/9 18:58,2022/3/11 00:00,3,FRR0024012RR01EDIAB_20220625_2_MRR0024201,29.20972222
000001705571-2_0_1,ZSS1135123M,12,2022/2/9 18:58,2022/3/11 00:00,3,FRR0024012RR01EDIAB_20220625_2_MRR0024201,29.20972222
000001705571-3_0_0,ZSS1135123M,12,2022/2/10 18:58,2022/3/12 00:00,3,FRR0024022RR01EDIAB_20220625_2_MRR0024201,29.20972222
000001705571-3_0_1,ZSS1135123M,12,2022/2/10 18:58,2022/3/12 00:00,3,FRR0024022RR01EDIAB_20220625_2_MRR0024201,29.20972222
000001705572-1_0_0,ZSS1135123M,12,2022/2/23 18:58,2022/3/25 00:00,3,FRR0024012RR01EDIAB_20220709_2_MRR0024201,29.20972222
000001705572-2_0_0,ZSS1135123M,12,2022/3/15 18:58,2022/4/14 00:00,3,FRR0024012RR01EDIAB_20220730_2_MRR0024201,29.20972222
000001705572-3_0_0,ZSS1135123M,12,2022/3/15 18:58,2022/4/14 00:00,3,FRR0024012RR01EDIAB_20220730_2_MRR0024201,29.20972222
000001705572-3_0_1,ZSS1135123M,12,2022/3/15 18:58,2022/4/14 00:00,3,FRR0024012RR01EDIAB_20220730_2_MRR0024201,29.20972222
000001705572-3_0_2,ZSS1135123M,12,2022/3/15 18:58,2022/4/14 00:00,3,FRR0024012RR01EDIAB_20220730_2_MRR0024201,29.20972222
000001694334-1_0_0,ZQI1149124M,6,2022/1/24 19:10,2022/2/23 00:00,4,FPH0038013PO01ATFAQ_20220611_2_MPH0038301,29.20138889
000001700254-2_0_0,ZQI1149124M,6,2022/3/14 19:10,2022/4/13 00:00,4,FPH0038013PO01ATFAQ_20220730_2_MPH0038301,29.20138889
000001707562-2_0_0,ZCM1123127M,6,2022/1/19 19:53,2022/2/18 00:00,3,FBL0020013BL01EDIAM_20220604_2_MBL0012601,29.17152778
000001706419-7_0_0,ZCM1141123M,6,2022/2/24 19:56,2022/3/26 00:00,3,FBL0032012BL01EDIAM_20220709_2_MBL0030201,29.16944444
000001709654-2_0_0,ZUE1141123M,5,2022/2/16 20:21,2022/3/18 00:00,3,FTD0030012CF01SAISA_20220416_2_MTD0030201,29.15208333
000001709655-2_0_0,ZUE1141123M,5,2022/3/2 20:21,2022/4/1 00:00,3,FTD0030012CF01SAISA_20220430_2_MTD0030201,29.15208333
000001710699-1_0_1,ZUE1141123M,5,2022/3/19 20:21,2022/4/18 00:00,3,FTD0030012CF01FORSA_20220507_2_MTD0030201,29.15208333
000001710699-3_0_2,ZUE1141123M,5,2022/3/9 20:21,2022/4/8 00:00,3,FTD0031012CF01FORSA_20220507_2_MTD0030201,29.15208333
000001709096-4_0_0,ZGS1150123M,7,2022/2/4 20:25,2022/3/6 00:00,3,FFR0049012FR01EDISA_20220319_2_MFR0049201,29.14930556
000001709098-3_0_0,ZGS1150123M,7,2022/2/11 20:25,2022/3/13 00:00,3,FFR0049012FR01EDISA_20220326_2_MFR0049201,29.14930556
000001711235-4_0_0,ZGS1150123M,7,2022/2/18 20:25,2022/3/20 00:00,3,FFR0057012FR01EDISA_20220402_2_MFR0049201,29.14930556
000001711237-5_0_1,ZGS1150123M,7,2022/3/4 20:25,2022/4/3 00:00,3,FFR0049012FR01EDISA_20220416_2_MFR0049201,29.14930556
000001711238-2_0_0,ZGS1150123M,7,2022/3/4 20:25,2022/4/3 00:00,3,FFR0057012FR01EDISA_20220416_2_MFR0049201,29.14930556
000001689689-2_0_0,ZGS1178122M,7,2022/2/3 20:39,2022/3/5 00:00,4,FFR0067011FR01EDISA_20220319_2_MFR0067101,29.13958333
000001709474-1_0_2,ZGS1178122M,7,2022/3/10 20:39,2022/4/9 00:00,3,FFR0071011FR01EDISA_20220423_2_MFR0067101,29.13958333
000001709474-3_0_2,ZGS1178122M,7,2022/3/16 20:39,2022/4/15 00:00,3,FFR0067011FR01EDISA_20220430_2_MFR0067101,29.13958333
000001678088-3_0_0,ZCN1152124M,6,2022/2/27 20:53,2022/3/29 00:00,3,FBM0041013BW01EDIAQ_20220716_2_MBM0041301,29.12986111
000001704852-1_0_0,ZGS1172122M,8,2022/1/28 20:58,2022/2/27 00:00,4,FFR0061011FR01EDISA_20220312_2_MFR0061102,29.12638889
000001704994-1_0_0,ZGS1149123M,4,2022/1/28 21:16,2022/2/27 00:00,3,FFR0042012FR01EDISA_20220312_2_MFR0038201,29.11388889
